Path,Value in File 1,Value in File 2,Comparison Result
APPLICATION.DECISIONRSP.CRDECISIONRSP.CREDITACCTINFO.CREDITINFO.FICODATE,03072025,03062025,False
APPLICATION.DECISIONRSP.APPID,202523742,202517114,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.RESULTS.USEROUTPUT3V0NUMERIC5,,1,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.IDADATA.APPID,202523742,202517114,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPUPDATETIME,04:08:42,04:07:03,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.DECSYSDECDAYS,03072025,03062025,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.FLMATCHSTATUS,A,P,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.MATCHJUNIPERAPPID,242502212,202506621,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPUPDATEDATE,03072025,03062025,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPCURRDATE,03072025,03062025,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPCURRENTTIME,04:08:39,04:06:54,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERAPPS,85,290,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.DATEOFTHEMOSTRECAPPROVEDAPP,03072025,03052025,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERAPPROVEDAPPS,32,59,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.DATEOFTHEMOSTRECAPP,03072025,03062025,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.DATEOFTHEMOSTRECSAMEPARTNERAPPROVEDAPP,03072025,03052025,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMTOTALAPPS,85,290,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERPENDEDAPPS,42,158,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.MATCHAPPLICATIONIDS,242502212:242502202:202520428:275134148:275134147:232502253:212502253,202506621:202515113:202515085:202514900:202514890:202514080:202513614,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERDECLINEDAPPS,11,73,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.ORIGINALSSNNUMTOTALAPPS,85,290,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.DATEOFTHEMOSTRECSAMEPARTNERAPP,03072025,03062025,False
