Path,Value in File 1,Value in File 2,Comparison Result
APPLICATION.DECISIONRSP.APPID,100573488,100573491,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPCURRENTTIME,13:57:10,14:01:51,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.APPUPDATETIME,13:57:13,14:01:58,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.APPLICATION.MATCHJUNIPERAPPID,100573485,100573488,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.MATCHAPPLICATIONIDS,100573485:100573483:111535001:100774002:100664002:111532001:100000000,100573488:100573485:100573483:111535001:100774002:100664002:111532001,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERAPPS,39,40,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMSAMEPARTNERPENDEDAPPS,39,40,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.NUMTOTALAPPS,39,40,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.DERIVEDATA.ORIGINALSSNNUMTOTALAPPS,39,40,False
APPLICATION.DECISIONRSP.FRAUDINFORSP.IDADATA.APPID,100573488,100573491,False
