2025-10-09 09:17:54 - APITestFramework - INFO - Framework initialized - Run ID: 100004
2025-10-09 09:17:54 - APITestFramework - INFO - Response folder: TestResponse\100004
2025-10-09 09:17:54 - APITestFramework - INFO - Report folder: Report\100004
2025-10-09 09:17:54 - APITestFramework - INFO - Preparing test data: both
2025-10-09 09:17:54 - APITestFramework - INFO - Processing regular test data...
2025-10-09 09:17:54 - APITestFramework - INFO - Starting test data processing for FullSetRequest
2025-10-09 09:17:54 - APITestFramework - INFO - Last APPID value in Excel: 100569458
2025-10-09 09:17:54 - APITestFramework - INFO - Excel file updated successfully with 1880 records
2025-10-09 09:17:54 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_01.json with APPID: 100569459
2025-10-09 09:17:54 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_02.json with APPID: 100569460
2025-10-09 09:17:54 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_03.json with APPID: 100569461
2025-10-09 09:17:54 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_04.json with APPID: 100569462
2025-10-09 09:17:54 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_05.json with APPID: 100569463
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_06.json with APPID: 100569464
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_07.json with APPID: 100569465
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_08.json with APPID: 100569466
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_09.json with APPID: 100569467
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_10.json with APPID: 100569468
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_11.json with APPID: 100569469
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_12.json with APPID: 100569470
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_13.json with APPID: 100569471
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_14.json with APPID: 100569472
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_15.json with APPID: 100569473
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_16.json with APPID: 100569474
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_17.json with APPID: 100569475
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_18.json with APPID: 100569476
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_19.json with APPID: 100569477
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_20.json with APPID: 100569478
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_21.json with APPID: 100569479
2025-10-09 09:17:55 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_22.json with APPID: 100569480
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_23.json with APPID: 100569481
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_24.json with APPID: 100569482
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_25.json with APPID: 100569483
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_26.json with APPID: 100569484
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_27.json with APPID: 100569485
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_28.json with APPID: 100569486
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_29.json with APPID: 100569487
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_30.json with APPID: 100569488
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_31.json with APPID: 100569489
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_32.json with APPID: 100569490
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_33.json with APPID: 100569491
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_34.json with APPID: 100569492
2025-10-09 09:17:56 - APITestFramework - INFO - Processed file: ACQ_DumpChanges_35.json with APPID: 100569493
