PS C:\Users\C24692E\Downloads\fcu> & "C:/Program Files/Python312/python.exe" c:/Users/C24692E/Downloads/fcu/new.py
2026-01-26 16:33:09 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:09 - TestDataGenerator - INFO - COMPLETE WATERFALL TEST DATA GENERATION
2026-01-26 16:33:09 - TestDataGenerator - INFO - ============================================================
2026-01-26 16:33:09 - TestDataGenerator - INFO - Output Directory: output\20260126_163309_Partners_Federal_Credit_Union
2026-01-26 16:33:09 - TestDataGenerator - INFO - Project: Partners Federal Credit Union
2026-01-26 16:33:09 - TestDataGenerator - INFO - Version: 1.0
2026-01-26 16:33:09 - TestDataGenerator - INFO - Loading policy rules from ./input/PolicyArtifacts.xlsx, sheet: Policy Rules
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 1 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 2 with 1 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 3 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 4 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 5 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 6 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 7 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 8 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 1 Rule 9 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 1 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 2 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 3 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 4 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 5 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 6 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 7 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 8 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 9 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 10 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 11 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 12 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 13 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 14 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 15 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 16 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 17 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 18 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 19 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 20 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 21 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 22 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 23 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 24 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 25 with 6 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 26 with 6 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 27 with 6 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 28 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 29 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 30 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 31 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 32 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 33 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 34 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 35 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 36 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 37 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 38 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 39 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 40 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 41 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 42 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 43 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 44 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 45 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 46 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 47 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 48 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 49 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 50 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 51 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 52 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 53 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 54 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 55 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 56 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 57 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 58 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 59 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 60 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 61 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 62 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 63 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 64 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 65 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 1 Policy Rule 66 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 1 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 2 with 1 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 3 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 4 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 5 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 6 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 7 with 3 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 8 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: SecExcl App 2 Rule 9 with 2 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 1 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 2 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 3 with 4 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 4 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 5 with 5 rule(s)
2026-01-26 16:33:09 - TestDataGenerator - INFO - [OK] Loaded policy: Sec App 2 Policy Rule 6 with 5 rule(s)
